ORIN,LOCAL,CANT
1000412194,100,2
1000434948,100,2
1000421722,100,2
1000054672,100,2
1000436071,100,2
1000370767,100,2
1000217110,100,2
1000423932,100,2
1000506605,100,2
1000501598,100,2
1000501602,100,2
1000501610,100,2
1000160378,100,2
1000026354,100,2
1000421740,100,2
1000003679,100,2
1000304578,100,2
1000436087,100,2
1000005175,100,2
1000405578,100,2
1000423852,100,2
1000506657,100,2
1000041083,100,2
1000217120,100,2
1000412193,100,2
1000434951,100,2
1000444054,100,2
1000421738,100,2
1000101506,100,2
1000228080,100,2
1000001435,100,2
1000053167,100,2
1000027445,100,2
1000061854,100,2
1000444058,100,2
1000444050,100,2
1000421744,100,2
1000098405,100,2
1000027309,100,2
1000422001,100,2
1000001366,100,2
1000050943,100,2
1000496871,100,2
1000103711,100,2
1000056656,100,2
1000061894,100,2
1000003482,100,2
1000143815,100,2
1000423137,100,2
1000434952,100,2
1000351762,100,2
1000056526,100,2
1000038300,100,2
1000421774,100,2
1000411784,100,2
1000002885,100,2
1000103648,100,2
1000423931,100,2
1000423862,100,2
1000162228,100,2
1000436435,100,2
1000004860,100,2
1000370602,100,2
1000421725,100,2
1000004370,100,2
1000190897,100,2
1000421746,100,2
1000025422,100,2
1000501608,100,2
1000302401,100,2
1000506730,100,2
1000444053,100,2
1000098342,100,2
1000423855,100,2
1000421974,100,2
1000434955,100,2
1000005403,100,2
1000421802,100,2
1000002775,100,2
1000053162,100,2
1000421983,100,2
1000421800,100,2
1000454628,100,2
1000421749,100,2
1000143087,100,2
1000423851,100,2
1000153674,100,2
1000421799,100,2
1000422019,100,2
1000302486,100,2
1000154640,100,2
1000421988,100,2
1000254569,100,2
1000510716,100,2
1000409536,100,2
1000270875,100,2
1000421748,100,2
1000153602,100,2
1000506836,100,2
1000004493,100,2
1000303553,100,2
1000047723,100,2
1000302413,100,2
1000421822,100,2
1000050463,100,2
1000416944,100,2
1000061873,100,2
1000149602,100,2
1000001368,100,2
1000506732,100,2
1000370888,100,2
1000421792,100,2
1000003858,100,2
1000051543,100,2
1000436075,100,2
1000005461,100,2
1000421809,100,2
1000045004,100,2
1000058602,100,2
1000059808,100,2
1000087078,100,2
1000501597,100,2
1000462079,100,2
1000409469,100,2
1000423143,100,2
1000385330,100,2
1000349307,100,2
1000208692,100,2
1000003430,100,2
1000049110,100,2
1000421826,100,2
1000421976,100,2
1000415543,100,2
1000434126,100,2
1000005090,100,2
1000421825,100,2
1000058739,100,2
1000421820,100,2
1000037834,100,2
1000218894,100,2
1000098375,100,2
1000050457,100,2
1000433640,100,2
1000053153,100,2
1000505715,100,2
1000421741,100,2
1000284093,100,2
1000302620,100,2
1000056281,100,2
1000523251,100,2
1000059147,100,2
1000423848,100,2
1000050403,100,2
1000053191,100,2
1000443025,100,2
1000351759,100,2
1000433248,100,2
1000351764,100,2
1000049025,100,2
1000433643,100,2
1000436086,100,2
1000004722,100,2
1000048482,100,2
1000039506,100,2
1000409533,100,2
1000421750,100,2
1000421807,100,2
