PROM_FECHA_INICIO,PROM_FECHA_FIN,ARTC_ARTC_COD,EVENTO_ID,PRONOSTICO_VENTA,STOCK_INICIAL_PROMO,GEOG_LOCL_COD,PROM_PVP_OFERTA,PROM_LOCAL_ACTIVO,PROM_ESTIBA
5/1/2025,5/4/2025,300531000,2519,,0,102,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,122,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,318,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,321,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,323,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,323,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,157,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,131,580,1,0
5/1/2025,5/4/2025,310143000,2519,,0,158,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,304,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,121,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,326,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,166,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,304,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,334,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,307,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,173,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,314,580,1,0
5/1/2025,5/4/2025,360180000,2519,,0,326,759,1,0
5/1/2025,5/4/2025,300531000,2519,,0,157,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,165,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,315,580,1,0
5/1/2025,5/4/2025,310143000,2519,,0,162,599,1,0
5/1/2025,5/4/2025,300531000,2519,,0,309,480,1,0
5/1/2025,5/4/2025,360180000,2519,,0,132,759,1,0
5/1/2025,5/4/2025,310143000,2519,,0,139,599,1,0
5/1/2025,5/4/2025,360180000,2519,,0,103,759,1,0
5/1/2025,5/4/2025,300531000,2519,,0,126,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,322,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,315,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,132,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,102,580,1,0
5/1/2025,5/4/2025,310143000,2519,,0,323,599,1,0
5/1/2025,5/4/2025,300531000,2519,,0,111,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,111,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,126,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,322,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,164,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,168,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,160,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,312,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,305,599,1,0
5/1/2025,5/4/2025,300531000,2519,,0,145,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,168,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,132,580,1,0
5/1/2025,5/4/2025,360180000,2519,,0,140,759,1,0
5/1/2025,5/4/2025,301287000,2519,,0,143,580,1,0
5/1/2025,5/4/2025,310143000,2519,,0,101,599,1,0
5/1/2025,5/4/2025,310143000,2519,,0,117,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,139,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,324,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,329,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,125,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,125,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,158,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,152,580,1,0
5/1/2025,5/4/2025,310143000,2519,,0,147,599,1,0
5/1/2025,5/4/2025,300531000,2519,,0,152,480,1,0
5/1/2025,5/4/2025,360180000,2519,,0,314,759,1,0
5/1/2025,5/4/2025,301287000,2519,,0,317,580,1,0
5/1/2025,5/4/2025,310143000,2519,,0,166,599,1,0
5/1/2025,5/4/2025,300531000,2519,,0,156,480,1,0
5/1/2025,5/4/2025,360180000,2519,,0,104,759,1,0
5/1/2025,5/4/2025,300531000,2519,,0,127,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,327,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,122,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,158,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,310,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,146,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,134,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,140,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,143,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,146,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,149,480,1,0
5/1/2025,5/4/2025,360180000,2519,,0,101,759,1,0
5/1/2025,5/4/2025,310143000,2519,,0,324,599,1,0
5/1/2025,5/4/2025,300531000,2519,,0,163,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,144,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,101,480,1,0
5/1/2025,5/4/2025,300531000,2519,,0,108,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,313,580,1,0
5/1/2025,5/4/2025,310143000,2519,,0,126,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,155,580,1,0
5/1/2025,5/4/2025,360180000,2519,,0,158,759,1,0
5/1/2025,5/4/2025,300531000,2519,,0,121,480,1,0
5/1/2025,5/4/2025,310143000,2519,,0,316,599,1,0
5/1/2025,5/4/2025,301287000,2519,,0,145,580,1,0
5/1/2025,5/4/2025,300531000,2519,,0,332,480,1,0
5/1/2025,5/4/2025,301287000,2519,,0,173,580,1,0
5/1/2025,5/4/2025,301287000,2519,,0,153,580,1,0
