ESTADÍSTICO,ORIN,DESCRIPCIÓN,PRECIO REGULAR,PRECIO PLUS,PRECIO MEDIANO AYER,% DTO,ALERTA PRECIO 1,ALERTA PRECIO 2,IVA,PRECIO APP ,APP % DTO,VENTA Q REGULAR DIARIA,VENTA Q PROMO DIARIA,VENTA ESTIMADA DIARIA,ESTIMADO DE VENTA,ACELERACIÓN,VALOR ESTIMADO DE VENTA ,ESTIMADO CERCANIAS,GO,ALERTA FORECAST,CANTIDAD POR INNER,LOCALES ACTIVOS* Q INNER,ALERTA INNER,STOCK UNIDADES,ALERTA COMPRA,COSTO SIN IVA REGULAR,DESCUENTO COMPRA,COSTO SIN IVA OFERTA,VIGENCIA DESCUENTO,% SELL OUT,VENTA AL COSTO SIN IVA,COSTO FINAL CON PROMO,MARGEN GB1 PROMO,MARGEN GB1 TEÓRICO,INV PUNTOS PORCENTUALES,INVERSIÓN TATA,RETORNO ACUERDO,COSTO FINAL PROMO CON RETORNO,MARGEN GB2,Precio con 20% BBVA Comunidad Plus - OFERTATA,Status Comercial ,Observaciones,
163744000,1000460959,JABON PALMOLIVE NATURALS MANTECA DE CACAO Y JAZMIN 85 G,56,25,56,"55,36%",,,22%,,"100,00%",34,871,1.071,15.000,"64,1",375.000,,,,12,972,,56,COMPRAR,"13,78",0%,"$13,78",,,206.700,"$13,78","32,75%","69,98%","-37,23%","-67,25%","16,50%","$11,51","43,85%",20,,,14/4/2025
163743000,1000460958,JABON PALMOLIVE NATURALS LECHE Y PETALOS DE ROSA 85 G,56,25,56,"55,36%",,,22%,,"100,00%",45,873,1.071,15.000,"60,8",375.000,,,,12,912,,56,COMPRAR,"13,78",0%,"$13,78",,,206.700,"$13,78","32,75%","69,98%","-37,23%","-67,25%","16,50%","$11,51","43,85%",20,,,14/4/2025
160418000,1000405391,JABON DE TOCADOR PALMOLIVE NATURALS SENSACION LUMINOSA 85 G,56,25,56,"55,36%",,,22%,,"100,00%",23,818,1.429,20.000,"80,1",500.000,,,,12,972,,56,COMPRAR,"13,78",0%,"$13,78",,,275.600,"$13,78","32,75%","69,98%","-37,23%","-67,25%","16,50%","$11,51","43,85%",20,,,14/4/2025
163705000,1000460953,JABON PALMOLIVE NATURALS ALOE VERA Y OLIVA 85 G,56,25,56,"55,36%",,,22%,,"100,00%",24,644,1.071,15.000,"73,0",375.000,,,,1,76,,56,COMPRAR,"13,78",0%,"$13,78",,,206.700,"$13,78","32,75%","69,98%","-37,23%","-67,25%","16,50%","$11,51","43,85%",20,,,14/4/2025
162951000,1000039388,PROTECTOR DIARIO NATURALMENTE DAILY 20 U,65,40,62,"38,46%",REVISAR,,22%,,"100,00%",159,1.470,1.786,25.000,"17,5",1.000.000,,,,64,5.184,,62,COMPRAR,"32,82","25,00%","$24,62",,,615.375,"$24,62","24,92%","38,40%","-13,48%","-35,04%","31,65%","$16,82","48,69%",32,,,14/4/2025
164653000,1000284513,CREMA DENTAL KOLYNOS 50 G,55,20,55,"63,64%",,,22%,,,110,1.867,2.857,40.000,"6,2",800.000,,,,12,972,,55,COMPRAR,"13,09",0%,"$13,09",,,,"$13,09","20,15%","70,96%","-50,81%","-79,85%","16,50%","$10,93","33,33%",16,PONER STATUS,,
163727000,1000039784,CEPILLO DENTAL COLGATE ESSENCIAL CLE,55,30,55,"45,45%",,,22%,,,119,343,357,5.000,"36,7",150.000,,,,6,486,,55,COMPRAR,"20,16",0%,"$20,16",,,,"$20,16","18,02%","55,28%","-37,27%","-81,98%","16,50%","$16,83","31,54%",24,PONER STATUS,,
161498000,1000111416,ENJUAGUE COLGATE PLAX ICE 60 ML,59,30,59,"49,15%",,,22%,,"100,00%",91,372,179,2.500,"7,1",75.000,,,,24,1.944,,59,COMPRAR,"21,86",0%,"$21,86",,,54.650,"$21,86","11,10%","54,80%","-43,70%","-88,90%","16,50%","$18,25","25,77%",24,PONER STATUS,,
162971000,1000039401,TOALLAS FEMENINAS DEFINITY C/ALAS 8.00 U,52,40,52,"23,08%",REVISAR,,22%,,"100,00%",,,1.786,25.000,,1.000.000,,,,60,4.440,,52,COMPRAR,"27,60",20%,"$22,08",,,552.000,"$22,08","32,66%","35,25%","-2,59%","-11,22%","31,65%","$15,09","53,97%",32,PONER STATUS,,
166303000,1000528098,JABON LIQUIDO PROPELL DOYPACK 170 ML,42,30,49,"28,57%",,,22%,,"100,00%",19,,143,2.000,,60.000,,,,30,0,,49,COMPRAR,"22,42","15,00%","$19,06",,,38.114,"$19,06","22,50%","34,88%","-12,37%","-43,31%","32,95%","$12,78","48,04%",24,PONER STATUS,,
