PROM_FECHA_INICIO,PROM_FECHA_FIN,ARTC_ARTC_COD,EVENTO_ID,PRONOSTICO_VENTA,STOCK_INICIAL_PROMO,GEOG_LOCL_COD,PROM_PVP_OFERTA,PROM_LOCAL_ACTIVO,PROM_ESTIBA
5/1/2025,5/14/2025,255278000,2505,,0,325,30,1,0
5/1/2025,5/14/2025,230072000,2505,,0,115,35,1,0
5/1/2025,5/14/2025,230336000,2505,,0,324,50,1,0
5/1/2025,5/14/2025,231623000,2505,,0,102,40,1,0
5/1/2025,5/14/2025,255223000,2505,,0,164,50,1,0
5/1/2025,5/14/2025,302731000,2505,,0,156,50,1,0
5/1/2025,5/14/2025,230932000,2505,,0,311,45,1,0
5/1/2025,5/14/2025,261612000,2505,,0,152,50,1,0
5/1/2025,5/14/2025,240552000,2505,,0,417,,1,0
5/1/2025,5/14/2025,164653000,2505,,0,328,20,1,0
5/1/2025,5/14/2025,165115000,2505,,0,319,40,1,0
5/1/2025,5/14/2025,241217000,2505,,0,120,,1,0
5/1/2025,5/14/2025,250807000,2505,,0,159,45,1,0
5/1/2025,5/14/2025,230072000,2505,,0,155,35,1,0
5/1/2025,5/14/2025,161302000,2505,,0,324,30,1,0
5/1/2025,5/14/2025,165115000,2505,,0,307,40,1,0
5/1/2025,5/14/2025,252058000,2505,,0,144,40,1,0
5/1/2025,5/14/2025,166164000,2505,,0,321,50,1,0
5/1/2025,5/14/2025,262247000,2505,,0,111,30,1,0
5/1/2025,5/14/2025,330805000,2505,,0,131,30,1,0
5/1/2025,5/14/2025,160418000,2505,,0,162,25,1,0
5/1/2025,5/14/2025,141600000,2505,,0,104,30,1,0
5/1/2025,5/14/2025,252454000,2505,,0,164,50,1,0
5/1/2025,5/14/2025,260233000,2505,,0,108,40,1,0
5/1/2025,5/14/2025,251897000,2505,,0,119,50,1,0
5/1/2025,5/14/2025,254345000,2505,,0,328,25,1,0
5/1/2025,5/14/2025,330805000,2505,,0,316,30,1,0
5/1/2025,5/14/2025,258069000,2505,,0,308,40,1,0
5/1/2025,5/14/2025,239849000,2505,,0,321,35,1,0
5/1/2025,5/14/2025,330872000,2505,,0,139,40,1,0
5/1/2025,5/14/2025,244320000,2505,,0,312,,1,0
5/1/2025,5/14/2025,241057000,2505,,0,173,,1,0
5/1/2025,5/14/2025,254470000,2505,,0,149,30,1,0
5/1/2025,5/14/2025,250843000,2505,,0,148,80,1,0
5/1/2025,5/14/2025,250976000,2505,,0,124,20,1,1
5/1/2025,5/14/2025,249504000,2505,,0,117,40,1,0
5/1/2025,5/14/2025,260632000,2505,,0,309,25,1,0
5/1/2025,5/14/2025,255022000,2505,,0,144,30,1,0
5/1/2025,5/14/2025,249504000,2505,,0,152,40,1,0
5/1/2025,5/14/2025,231812000,2505,,0,132,35,1,0
5/1/2025,5/14/2025,253908000,2505,,0,117,,1,0
5/1/2025,5/14/2025,262249000,2505,,0,119,30,1,0
5/1/2025,5/14/2025,260658000,2505,,0,139,30,1,0
5/1/2025,5/14/2025,255366000,2505,,0,140,35,1,0
5/1/2025,5/14/2025,250842000,2505,,0,173,80,1,0
5/1/2025,5/14/2025,254340000,2505,,0,322,25,1,0
5/1/2025,5/14/2025,252330000,2505,,0,146,25,1,0
5/1/2025,5/14/2025,252058000,2505,,0,311,40,1,0
5/1/2025,5/14/2025,252108000,2505,,0,139,50,1,0
5/1/2025,5/14/2025,250850000,2505,,0,140,80,1,0
5/1/2025,5/14/2025,140699000,2505,,0,107,30,1,0
5/1/2025,5/14/2025,261612000,2505,,0,161,50,1,0
5/1/2025,5/14/2025,252799000,2505,,0,307,40,1,0
5/1/2025,5/14/2025,260233000,2505,,0,155,40,1,0
5/1/2025,5/14/2025,254340000,2505,,0,151,25,1,0
5/1/2025,5/14/2025,239506000,2505,,0,104,50,1,0
5/1/2025,5/14/2025,162858000,2505,,0,304,40,1,0
5/1/2025,5/14/2025,039363000,2505,,0,312,50,1,0
5/1/2025,5/14/2025,253263000,2505,,0,108,30,1,0
5/1/2025,5/14/2025,230932000,2505,,0,131,45,1,0
5/1/2025,5/14/2025,261400000,2505,,0,108,20,1,0
5/1/2025,5/14/2025,250676000,2505,,0,117,80,1,0
5/1/2025,5/14/2025,253800000,2505,,0,329,40,1,0
5/1/2025,5/14/2025,254470000,2505,,0,131,30,1,0
5/1/2025,5/14/2025,140305000,2505,,0,327,45,1,0
5/1/2025,5/14/2025,254748000,2505,,0,104,20,1,1
5/1/2025,5/14/2025,253263000,2505,,0,168,30,1,0
5/1/2025,5/14/2025,162869000,2505,,0,152,18,1,0
5/1/2025,5/14/2025,255366000,2505,,0,125,35,1,0
